nameFirst,nameLast,tname
Ed,Curtis,Altoona Mountain City
Joe,Maddon,Anaheim Angels
Mike,Scioscia,Anaheim Angels
Terry,Collins,Anaheim Angels
A. J.,Hinch,Arizona Diamondbacks
Bob,Brenly,Arizona Diamondbacks
Bob,Melvin,Arizona Diamondbacks
Al,Pedrique,Arizona Diamondbacks
Buck,Showalter,Arizona Diamondbacks
Alan,Trammell,Arizona Diamondbacks
Chip,Hale,Arizona Diamondbacks
Kirk,Gibson,Arizona Diamondbacks
Dave,Bristol,Atlanta Braves
Clyde,King,Atlanta Braves
Billy,Hitchcock,Atlanta Braves
Vern,Benson,Atlanta Braves
Bobby,Bragan,Atlanta Braves
Eddie,Mathews,Atlanta Braves
Russ,Nixon,Atlanta Braves
Brian,Snitker,Atlanta Braves
Connie,Ryan,Atlanta Braves
Ken,Silvestri,Atlanta Braves
Chuck,Tanner,Atlanta Braves
Ted,Turner,Atlanta Braves
Bobby,Wine,Atlanta Braves
Joe,Torre,Atlanta Braves
Bobby,Cox,Atlanta Braves
Lum,Harris,Atlanta Braves
Eddie,Haas,Atlanta Braves
Fredi,Gonzalez,Atlanta Braves
Bill,Henderson,Baltimore Monumentals
Davey,Johnson,Baltimore Orioles
Billy,Barnie,Baltimore Orioles
Joe,Altobelli,Baltimore Orioles
Hank,Bauer,Baltimore Orioles
Billy,Hitchcock,Baltimore Orioles
Lee,Mazzilli,Baltimore Orioles
Sam,Perlozzo,Baltimore Orioles
Ray,Miller,Baltimore Orioles
Johnny,Oates,Baltimore Orioles
Phil,Regan,Baltimore Orioles
Paul,Richards,Baltimore Orioles
Cal,Ripken,Baltimore Orioles
Juan,Samuel,Baltimore Orioles
Frank,Robinson,Baltimore Orioles
Buck,Showalter,Baltimore Orioles
John,Waltz,Baltimore Orioles
Dave,Trembley,Baltimore Orioles
Earl,Weaver,Baltimore Orioles
Jimmy,Dykes,Baltimore Orioles
Ned,Hanlon,Baltimore Orioles
Mike,Hargrove,Baltimore Orioles
Lum,Harris,Baltimore Orioles
George,Huff,Boston Americans
Al,Buckenberger,Boston Beaneaters
Frank,Selee,Boston Beaneaters
Jim,Hart,Boston Beaneaters
Bill,McKechnie,Boston Bees
Casey,Stengel,Boston Bees
Del,Bissonette,Boston Braves
Tommy,Holmes,Boston Braves
Bill,McKechnie,Boston Braves
Fred,Mitchell,Boston Braves
Jack,Slattery,Boston Braves
Billy,Southworth,Boston Braves
George,Stallings,Boston Braves
Casey,Stengel,Boston Braves
Johnny,Cooney,Boston Braves
Bob,Coleman,Boston Braves
Charlie,Grimm,Boston Braves
Judge,Fuchs,Boston Braves
Harry,Wright,Boston Red Caps
Darrell,Johnson,Boston Red Sox
Ralph,Houk,Boston Red Sox
Billy,Herman,Boston Red Sox
Pinky,Higgins,Boston Red Sox
Ed,Barrow,Boston Red Sox
Lou,Boudreau,Boston Red Sox
Billy,Jurges,Boston Red Sox
Fred,Lake,Boston Red Sox
Eddie,Kasko,Boston Red Sox
Butch,Hobson,Boston Red Sox
Bill,Carrigan,Boston Red Sox
Del,Baker,Boston Red Sox
Kevin,Kennedy,Boston Red Sox
Joe,Kerrigan,Boston Red Sox
Grady,Little,Boston Red Sox
Joe,McCarthy,Boston Red Sox
John,McNamara,Boston Red Sox
Joe,Morgan,Boston Red Sox
Eddie,Popowski,Boston Red Sox
Johnny,Pesky,Boston Red Sox
Steve,O'Neill,Boston Red Sox
Pete,Runnels,Boston Red Sox
Heinie,Wagner,Boston Red Sox
Don,Zimmer,Boston Red Sox
Jimy,Williams,Boston Red Sox
Bobby,Valentine,Boston Red Sox
Rudy,York,Boston Red Sox
Dick,Williams,Boston Red Sox
Lee,Fohl,Boston Red Sox
Frank,Chance,Boston Red Sox
Patsy,Donovan,Boston Red Sox
Joe,Cronin,Boston Red Sox
John,Farrell,Boston Red Sox
Hugh,Duffy,Boston Red Sox
Shano,Collins,Boston Red Sox
Terry,Francona,Boston Red Sox
Bucky,Harris,Boston Red Sox
George,Taylor,Brooklyn Atlantics
Billy,Barnie,Brooklyn Bridegrooms
Bill,McGunnigle,Brooklyn Bridegrooms
Charlie,Ebbets,Brooklyn Bridegrooms
Ray,Blades,Brooklyn Dodgers
Walter,Alston,Brooklyn Dodgers
Max,Carey,Brooklyn Dodgers
Burt,Shotton,Brooklyn Dodgers
Casey,Stengel,Brooklyn Dodgers
Clyde,Sukeforth,Brooklyn Dodgers
Chuck,Dressen,Brooklyn Dodgers
Leo,Durocher,Brooklyn Dodgers
Bill,Dahlen,Brooklyn Dodgers
Burleigh,Grimes,Brooklyn Dodgers
Jim,Kennedy,Brooklyn Gladiators
Charlie,Byrne,Brooklyn Grays
Charlie,Hackett,Brooklyn Grays
Wilbert,Robinson,Brooklyn Robins
Patsy,Donovan,Brooklyn Superbas
Bill,Dahlen,Brooklyn Superbas
Ned,Hanlon,Brooklyn Superbas
John,Ganzel,Brooklyn Tip-Tops
Jack,Chapman,Buffalo Bisons
Larry,Schlafly,Buffalo Blues
Whitey,Herzog,California Angels
Marcel,Lachemann,California Angels
Joe,Maddon,California Angels
Gene,Mauch,California Angels
John,McNamara,California Angels
Doug,Rader,California Angels
Lefty,Phillips,California Angels
Del,Rice,California Angels
Bill,Rigney,California Angels
Norm,Sherry,California Angels
Buck,Rodgers,California Angels
Moose,Stubing,California Angels
Cookie,Rojas,California Angels
Dick,Williams,California Angels
John,Wathan,California Angels
Bobby,Winkles,California Angels
Dave,Garcia,California Angels
Jim,Fregosi,California Angels
Bill,Killefer,Chicago Cubs
Bruce,Kimm,Chicago Cubs
Jim,Lefebvre,Chicago Cubs
Lou,Klein,Chicago Cubs
Joe,Altobelli,Chicago Cubs
Roy,Johnson,Chicago Cubs
Joey,Amalfitano,Chicago Cubs
Vedie,Himsl,Chicago Cubs
Rene,Lachemann,Chicago Cubs
Lou,Boudreau,Chicago Cubs
Don,Baylor,Chicago Cubs
Bob,Kennedy,Chicago Cubs
Dusty,Baker,Chicago Cubs
Frank,Lucchesi,Chicago Cubs
Joe,Maddon,Chicago Cubs
Whitey,Lockman,Chicago Cubs
Joe,McCarthy,Chicago Cubs
Jim,Marshall,Chicago Cubs
Lou,Piniella,Chicago Cubs
Jim,Riggleman,Chicago Cubs
Charlie,Metro,Chicago Cubs
Mike,Quade,Chicago Cubs
Gene,Michael,Chicago Cubs
Fred,Mitchell,Chicago Cubs
Rich,Renteria,Chicago Cubs
Hank,O'Day,Chicago Cubs
Frank,Selee,Chicago Cubs
Bob,Scheffing,Chicago Cubs
Dale,Sveum,Chicago Cubs
El,Tappe,Chicago Cubs
Tom,Trebelhorn,Chicago Cubs
Jimmie,Wilson,Chicago Cubs
John,Vukovich,Chicago Cubs
Don,Zimmer,Chicago Cubs
Lee,Elia,Chicago Cubs
Harry,Craft,Chicago Cubs
Jim,Essian,Chicago Cubs
Johnny,Evers,Chicago Cubs
Leo,Durocher,Chicago Cubs
Charlie,Fox,Chicago Cubs
Herman,Franks,Chicago Cubs
George,Gibson,Chicago Cubs
Charlie,Grimm,Chicago Cubs
Jim,Frey,Chicago Cubs
Preston,Gomez,Chicago Cubs
Frankie,Frisch,Chicago Cubs
Stan,Hack,Chicago Cubs
Tom,Burns,Chicago Orphans
Tom,Loftus,Chicago Orphans
Frank,Selee,Chicago Orphans
Bill,Adair,Chicago White Sox
Lena,Blackburne,Chicago White Sox
Donie,Bush,Chicago White Sox
Jimmy,Callahan,Chicago White Sox
Gene,Lamont,Chicago White Sox
Tony,LaRussa,Chicago White Sox
Terry,Bevington,Chicago White Sox
Al,Lopez,Chicago White Sox
Ted,Lyons,Chicago White Sox
Bob,Lemon,Chicago White Sox
Jerry,Manuel,Chicago White Sox
Marty,Marion,Chicago White Sox
Jack,Onslow,Chicago White Sox
Les,Moss,Chicago White Sox
Doug,Rader,Chicago White Sox
Paul,Richards,Chicago White Sox
Pants,Rowland,Chicago White Sox
Eddie,Stanky,Chicago White Sox
Chuck,Tanner,Chicago White Sox
Ed,Walsh,Chicago White Sox
Robin,Ventura,Chicago White Sox
Jeff,Torborg,Chicago White Sox
Don,Cooper,Chicago White Sox
Red,Corriden,Chicago White Sox
Larry,Doby,Chicago White Sox
Johnny,Evers,Chicago White Sox
Hugh,Duffy,Chicago White Sox
Jimmy,Dykes,Chicago White Sox
Lew,Fonseca,Chicago White Sox
Jim,Fregosi,Chicago White Sox
Ozzie,Guillen,Chicago White Sox
Kid,Gleason,Chicago White Sox
Don,Gutteridge,Chicago White Sox
Jimmy,Wood,Chicago White Stockings
Ed,Hengel,Chicago/Pittsburgh (Union League)
Ollie,Caylor,Cincinnati Red Stockings
Gus,Schmelz,Cincinnati Red Stockings
Fred,Hutchinson,Cincinnati Redlegs
Mayo,Smith,Cincinnati Redlegs
Birdie,Tebbetts,Cincinnati Redlegs
Jimmy,Dykes,Cincinnati Redlegs
Rogers,Hornsby,Cincinnati Reds
Earle,Brucker,Cincinnati Reds
Frank,Bancroft,Cincinnati Reds
Davey,Johnson,Cincinnati Reds
Ray,Knight,Cincinnati Reds
Dan,Howley,Cincinnati Reds
Sparky,Anderson,Cincinnati Reds
Bob,Boone,Cincinnati Reds
Donie,Bush,Cincinnati Reds
Fred,Hutchinson,Cincinnati Reds
Dusty,Baker,Cincinnati Reds
Dave,Bristol,Cincinnati Reds
Bid,McPhee,Cincinnati Reds
Christy,Mathewson,Cincinnati Reds
Pete,Mackanin,Cincinnati Reds
Bill,McKechnie,Cincinnati Reds
Jack,McKeon,Cincinnati Reds
Tom,Loftus,Cincinnati Reds
John,McNamara,Cincinnati Reds
Bryan,Price,Cincinnati Reds
Tony,Perez,Cincinnati Reds
Jerry,Narron,Cincinnati Reds
Dave,Miley,Cincinnati Reds
Johnny,Neun,Cincinnati Reds
Russ,Nixon,Cincinnati Reds
Vern,Rapp,Cincinnati Reds
Buster,Mills,Cincinnati Reds
Hank,O'Day,Cincinnati Reds
Lou,Piniella,Cincinnati Reds
Pat,Moran,Cincinnati Reds
Pete,Rose,Cincinnati Reds
Luke,Sewell,Cincinnati Reds
Burt,Shotton,Cincinnati Reds
Dick,Sisler,Cincinnati Reds
Bobby,Wallace,Cincinnati Reds
Bucky,Walters,Cincinnati Reds
Chuck,Dressen,Cincinnati Reds
Buck,Ewing,Cincinnati Reds
Tommy,Helms,Cincinnati Reds
Jack,Hendricks,Cincinnati Reds
Hank,Gowdy,Cincinnati Reds
Ned,Hanlon,Cincinnati Reds
Clark,Griffith,Cincinnati Reds
Don,Heffner,Cincinnati Reds
Frank,Bancroft,Cleveland Blues
Tom,Loftus,Cleveland Blues
Jimmy,Williams,Cleveland Blues
Charlie,Hackett,Cleveland Blues
Bill,Armour,Cleveland Bronchos
Joe,Birmingham,Cleveland Indians
Joe,Adcock,Cleveland Indians
Sandy,Alomar,Cleveland Indians
Walter,Johnson,Cleveland Indians
Ken,Aspromonte,Cleveland Indians
Bobby,Bragan,Cleveland Indians
Manny,Acta,Cleveland Indians
Mel,McGaha,Cleveland Indians
Johnny,Lipon,Cleveland Indians
Charlie,Manuel,Cleveland Indians
Jack,McCallister,Cleveland Indians
John,McNamara,Cleveland Indians
Al,Lopez,Cleveland Indians
Roger,Peckinpaugh,Cleveland Indians
Steve,O'Neill,Cleveland Indians
Frank,Robinson,Cleveland Indians
George,Strickland,Cleveland Indians
Joel,Skinner,Cleveland Indians
Birdie,Tebbetts,Cleveland Indians
Eric,Wedge,Cleveland Indians
Jeff,Torborg,Cleveland Indians
Jo-Jo,White,Cleveland Indians
Ossie,Vitt,Cleveland Indians
Jimmy,Dykes,Cleveland Indians
Lee,Fohl,Cleveland Indians
Pat,Corrales,Cleveland Indians
Doc,Edwards,Cleveland Indians
Bibb,Falk,Cleveland Indians
Kerby,Farrell,Cleveland Indians
Mike,Ferraro,Cleveland Indians
Al,Dark,Cleveland Indians
Joe,Gordon,Cleveland Indians
Dave,Garcia,Cleveland Indians
Mel,Harder,Cleveland Indians
Mike,Hargrove,Cleveland Indians
Terry,Francona,Cleveland Indians
John,Hart,Cleveland Indians
Bill,Armour,Cleveland Naps
Deacon,McGuire,Cleveland Naps
Bob,Leadley,Cleveland Spiders
Tom,Loftus,Cleveland Spiders
Gus,Schmelz,Cleveland Spiders
Clint,Hurdle,Colorado Rockies
Don,Baylor,Colorado Rockies
