teamID,name,yearID,W,L
ARI,Arizona Diamondbacks,2009,70,92
ARI,Arizona Diamondbacks,2010,65,97
ARI,Arizona Diamondbacks,2011,94,68
ARI,Arizona Diamondbacks,2012,81,81
ARI,Arizona Diamondbacks,2013,81,81
ARI,Arizona Diamondbacks,2014,64,98
ARI,Arizona Diamondbacks,2015,79,83
ARI,Arizona Diamondbacks,2016,69,93
MIA,Miami Marlins,2012,69,93
MIA,Miami Marlins,2013,62,100
MIA,Miami Marlins,2014,77,85
MIA,Miami Marlins,2015,71,91
MIA,Miami Marlins,2016,79,82
MIL,Milwaukee Brewers,2009,80,82
MIL,Milwaukee Brewers,2010,77,85
MIL,Milwaukee Brewers,2011,96,66
MIL,Milwaukee Brewers,2012,83,79
MIL,Milwaukee Brewers,2013,74,88
MIL,Milwaukee Brewers,2014,82,80
MIL,Milwaukee Brewers,2015,68,94
MIL,Milwaukee Brewers,2016,73,89
