playerID,nameGiven,n_pAwards
robinfr02,Frank,15
molitpa01,Paul Leo,13
willima04,Matthew Derrick,12
torrejo01,Joseph Paul,9
baylodo01,Don Edward,9
rolfere01,Robert Abial,7
penato01,Antonio Francesco,5
johnsda02,David Allen,5
hodgegi01,Gilbert Raymond,5
bakerdu01,Johnnie B.,5
bowala01,Lawrence Robert,4
tebbebi01,George Robert,3
gibsoki01,Kirk Harold,3
virdobi01,William Charles,2
stanked01,Edward Raymond,2
guilloz01,Oswaldo Jose,2
bluegos01,Oswald Louis,2
sciosmi01,Michael Lorri,1
pinielo01,Louis Victor,1
martibi02,Alfred Manuel,1
lasorto01,Thomas Charles,1
hargrmi01,Dudley Michael,1
aloufe01,Felipe Rojas,1
