playerID,nameFirst,nameLast
abreubo01,Bobby,Abreu
abreujo02,Jose,Abreu
ackledu01,Dustin,Ackley
adamsmi03,Mike,Adams
affelje01,Jeremy,Affeldt
aguilri01,Rick,Aguilera
alfoned01,Edgardo,Alfonzo
alomaro01,Roberto,Alomar
aloumo01,Moises,Alou
alvarpe01,Pedro,Alvarez
alvarwi01,Wilson,Alvarez
anderbr01,Brady,Anderson
anderbr04,Brett,Anderson
anderga01,Garret,Anderson
andruel01,Elvis,Andrus
aokino01,Nori,Aoki
appieke01,Kevin,Appier
arrieja01,Jake,Arrieta
arroybr01,Bronson,Arroyo
arrueer01,Erisbel,Arruebarrena
ashbyan01,Andy,Ashby
astacpe01,Pedro,Astacio
atkinga01,Garrett,Atkins
aurilri01,Rich,Aurilia
ausmubr01,Brad,Ausmus
averyst01,Steve,Avery
avilaal01,Alex,Avila
axforjo01,John,Axford
aybarer01,Erick,Aybar
baezda01,Danys,Baez
bagweje01,Jeff,Bagwell
baileho02,Homer,Bailey
bakersc02,Scott,Baker
balfogr01,Grant,Balfour
barmecl01,Clint,Barmes
bartlja01,Jason,Bartlett
batismi01,Miguel,Batista
bautijo02,Jose,Bautista
bayja01,Jason,Bay
beckejo02,Josh,Beckett
beckro01,Rod,Beck
bedarer01,Erik,Bedard
bellde01,Derek,Bell
belleal01,Albert,Belle
bellhe01,Heath,Bell
bellja01,Jay,Bell
beltbr01,Brandon,Belt
beltrad01,Adrian,Beltre
beltrca01,Carlos,Beltran
benesan01,Andy,Benes
benitar01,Armando,Benitez
benoijo01,Joaquin,Benoit
bensokr01,Kris,Benson
berkmla01,Lance,Berkman
betanra01,Rafael,Betancourt
bicheda01,Dante,Bichette
biggicr01,Craig,Biggio
billich01,Chad,Billingsley
blakeca01,Casey,Blake
blaloha01,Hank,Blalock
blantjo01,Joe,Blanton
boggswa01,Wade,Boggs
bondeje01,Jeremy,Bonderman
bondsba01,Barry,Bonds
bonilbo01,Bobby,Bonilla
boonebr01,Bret,Boone
bordimi01,Mike,Bordick
bournmi01,Michael,Bourn
bradlmi01,Milton,Bradley
brantmi02,Michael,Brantley
braunry02,Ryan,Braun
brettge01,George,Brett
brittza01,Zach,Britton
brosisc01,Scott,Brosius
brownke01,Kevin,Brown
broxtjo01,Jonathan,Broxton
bruceja01,Jay,Bruce
buchhcl01,Clay,Buchholz
buckjo01,John,Buck
buehrma01,Mark,Buehrle
