teamId,tname
ALT,Altoona Mountain City
ANA,Anaheim Angels
ARI,Arizona Diamondbacks
ATL,Atlanta Braves
BAL,Baltimore Orioles
BFN,Buffalo Bisons
BFP,Buffalo Bisons
BL1,Baltimore Canaries
BL2,Baltimore Orioles
BL3,Baltimore Orioles
BL4,Baltimore Marylands
BLA,Baltimore Orioles
BLF,Baltimore Terrapins
BLN,Baltimore Orioles
BLU,Baltimore Monumentals
BOS,Boston Americans
BOS,Boston Red Sox
BR1,Brooklyn Eckfords
BR2,Brooklyn Atlantics
BR3,Brooklyn Atlantics
BR3,Brooklyn Bridegrooms
BR3,Brooklyn Grays
BR4,Brooklyn Gladiators
BRF,Brooklyn Tip-Tops
BRO,Brooklyn Bridegrooms
BRO,Brooklyn Dodgers
BRO,Brooklyn Grooms
BRO,Brooklyn Robins
BRO,Brooklyn Superbas
BRP,Brooklyn Ward's Wonders
BS1,Boston Red Stockings
BS2,Boston Reds
BSN,Boston Beaneaters
BSN,Boston Bees
BSN,Boston Braves
BSN,Boston Doves
BSN,Boston Red Caps
BSN,Boston Rustlers
BSP,Boston Reds
BSU,Boston Reds
BUF,Buffalo Blues
BUF,Buffalo Buffeds
CAL,California Angels
CH1,Chicago White Stockings
CH2,Chicago White Stockings
CHA,Chicago White Sox
CHF,Chicago Chi-Feds
CHF,Chicago Whales
CHN,Chicago Colts
CHN,Chicago Cubs
CHN,Chicago Orphans
CHN,Chicago White Stockings
CHP,Chicago Pirates
CHU,Chicago/Pittsburgh (Union League)
CIN,Cincinnati Redlegs
CIN,Cincinnati Reds
CL1,Cleveland Forest Citys
CL2,Cleveland Blues
CL3,Cleveland Blues
CL4,Cleveland Spiders
CL5,Columbus Buckeyes
CL6,Columbus Solons
CLE,Cleveland Blues
CLE,Cleveland Bronchos
CLE,Cleveland Indians
CLE,Cleveland Naps
CLP,Cleveland Infants
CN1,Cincinnati Reds
CN2,Cincinnati Red Stockings
CN3,Cincinnati Kelly's Killers
CNU,Cincinnati Outlaw Reds
COL,Colorado Rockies
DET,Detroit Tigers
DTN,Detroit Wolverines
ELI,Elizabeth Resolutes
FLO,Florida Marlins
FW1,Fort Wayne Kekiongas
HAR,Hartford Dark Blues
HOU,Houston Astros
HOU,Houston Colt .45's
HR1,Hartford Dark Blues
IN1,Indianapolis Blues
IN2,Indianapolis Hoosiers
IN3,Indianapolis Hoosiers
IND,Indianapolis Hoosiers
KC1,Kansas City Athletics
KC2,Kansas City Cowboys
KCA,Kansas City Royals
KCF,Kansas City Packers
KCN,Kansas City Cowboys
KCU,Kansas City Cowboys
KEO,Keokuk Westerns
LAA,Los Angeles Angels
LAA,Los Angeles Angels of Anaheim
LAN,Los Angeles Dodgers
LS1,Louisville Grays
LS2,Louisville Colonels
LS2,Louisville Eclipse
LS3,Louisville Colonels
MIA,Miami Marlins
MID,Middletown Mansfields
MIL,Milwaukee Brewers
MIN,Minnesota Twins
ML1,Milwaukee Braves
ML2,Milwaukee Grays
ML3,Milwaukee Brewers
ML4,Milwaukee Brewers
MLA,Milwaukee Brewers
MLU,Milwaukee Brewers
MON,Montreal Expos
NEW,Newark Pepper
NH1,New Haven Elm Citys
NY1,New York Giants
NY1,New York Gothams
NY2,New York Mutuals
NY3,New York Mutuals
NY4,New York Metropolitans
NYA,New York Highlanders
NYA,New York Yankees
NYN,New York Mets
NYP,New York Giants
OAK,Oakland Athletics
PH1,Philadelphia Athletics
PH2,Philadelphia Whites
PH3,Philadelphia Centennials
PH4,Philadelphia Athletics
PHA,Philadelphia Athletics
PHI,Philadelphia Blue Jays
PHI,Philadelphia Phillies
PHI,Philadelphia Quakers
PHN,Philadelphia Athletics
PHP,Philadelphia Athletics
PHU,Philadelphia Keystones
PIT,Pittsburg Alleghenys
PIT,Pittsburgh Pirates
PRO,Providence Grays
PT1,Pittsburg Alleghenys
PTF,Pittsburgh Rebels
PTP,Pittsburgh Burghers
RC1,Rockford Forest Citys
RC2,Rochester Broncos
RIC,Richmond Virginians
SDN,San Diego Padres
SE1,Seattle Pilots
SEA,Seattle Mariners
SFN,San Francisco Giants
SL1,St. Louis Red Stockings
SL2,St. Louis Brown Stockings
SL3,St. Louis Brown Stockings
SL4,St. Louis Brown Stockings
SL4,St. Louis Browns
SL5,St. Louis Maroons
SLA,St. Louis Browns
SLF,St. Louis Terriers
SLN,St. Louis Browns
SLN,St. Louis Cardinals
SLN,St. Louis Perfectos
SLU,St. Louis Maroons
SPU,St. Paul White Caps
SR1,Syracuse Stars
SR2,Syracuse Stars
TBA,Tampa Bay Devil Rays
TBA,Tampa Bay Rays
TEX,Texas Rangers
TL1,Toledo Blue Stockings
TL2,Toledo Maumees
TOR,Toronto Blue Jays
TRN,Troy Trojans
TRO,Troy Haymakers
WAS,Washington Nationals
WAS,Washington Senators
WIL,Wilmington Quicksteps
WOR,Worcester Ruby Legs
WS1,Washington Senators
WS2,Washington Senators
WS3,Washington Olympics
WS4,Washington Nationals
WS5,Washington Blue Legs
WS6,Washington Nationals
WS7,Washington Nationals
WS8,Washington Nationals
WS9,Washington Statesmen
WSU,Washington Nationals
